country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Belgium,BEL,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia & Herzegovina,BIH,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,CHE,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2042,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2043,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2044,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2045,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2046,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2047,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2048,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2049,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2050,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2051,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2052,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2053,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,CZE,1,2054,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2025,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2026,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2027,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2028,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2029,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2030,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2031,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2032,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2033,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2034,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2035,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2036,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2037,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2038,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2039,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2040,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,1,2041,NA,NA,NA,NA,NA,NA,NA,NA
